fiscal_year,product_name,area,trade_date,clearing_price_jpy_kwh,volume_mw,source
2020,BY2001B1,Hokkaido,2019-08-09,12.47,12.7,JEPX public baseload CSV
2020,BY2001B3,Tokyo,2019-08-09,9.77,88.2,JEPX public baseload CSV
2020,BY2001B6,Kansai,2019-08-09,8.7,83.4,JEPX public baseload CSV
2020,BY2002B1,Hokkaido,2019-09-27,12.37,2.2,JEPX public baseload CSV
2020,BY2002B3,Tokyo,2019-09-27,9.95,26.8,JEPX public baseload CSV
2020,BY2002B6,Kansai,2019-09-27,8.47,53.2,JEPX public baseload CSV
2020,BY2003B1,Hokkaido,2019-11-22,12.45,12.9,JEPX public baseload CSV
2020,BY2003B3,Tokyo,2019-11-22,9.4,193.6,JEPX public baseload CSV
2020,BY2003B6,Kansai,2019-11-22,8.7,61.3,JEPX public baseload CSV
2021,BY2101B1,Hokkaido,2020-07-31,8.63,4.9,JEPX public baseload CSV
2021,BY2101B3,Tokyo,2020-07-31,7.52,50.7,JEPX public baseload CSV
2021,BY2101B6,Kansai,2020-07-31,6.5,55.5,JEPX public baseload CSV
2021,BY2102B1,Hokkaido,2020-09-30,9.09,4.1,JEPX public baseload CSV
2021,BY2102B3,Tokyo,2020-09-30,7.65,19.5,JEPX public baseload CSV
2021,BY2102B6,Kansai,2020-09-30,6.06,85.0,JEPX public baseload CSV
2021,BY2103B1,Hokkaido,2020-11-30,9.19,2.6,JEPX public baseload CSV
2021,BY2103B3,Tokyo,2020-11-30,7.4,37.5,JEPX public baseload CSV
2021,BY2103B6,Kansai,2020-11-30,6.2,72.3,JEPX public baseload CSV
2022,BY2201B1,Hokkaido,2021-07-30,11.53,22.7,JEPX public baseload CSV
2022,BY2201B3,Tokyo,2021-07-30,10.92,6.6,JEPX public baseload CSV
2022,BY2201B6,Kansai,2021-07-30,9.47,9.4,JEPX public baseload CSV
2022,BY2202B1,Hokkaido,2021-09-30,12.3,5.0,JEPX public baseload CSV
2022,BY2202B3,Tokyo,2021-09-30,12.16,5.0,JEPX public baseload CSV
2022,BY2202B6,Kansai,2021-09-30,10.23,81.4,JEPX public baseload CSV
2022,BY2203B1,Hokkaido,2021-11-30,15.69,4.0,JEPX public baseload CSV
2022,BY2203B3,Tokyo,2021-11-30,13.42,146.7,JEPX public baseload CSV
2022,BY2203B6,Kansai,2021-11-30,10.63,409.3,JEPX public baseload CSV
2022,BY2204B1,Hokkaido,2022-01-28,,,JEPX public baseload CSV
2022,BY2204B3,Tokyo,2022-01-28,14.87,8.0,JEPX public baseload CSV
2022,BY2204B6,Kansai,2022-01-28,14.5,50.0,JEPX public baseload CSV
2023,BY2301B1,Hokkaido,2022-07-29,29.9,0.1,JEPX public baseload CSV
2023,BY2301B3,Tokyo,2022-07-29,33.06,2.4,JEPX public baseload CSV
