delivery_date,time_code,area_group,clearing_price_estimate,upside_depth_mw,downside_depth_mw,tightest_depth_mw,price_band_jpy_kwh,stack_regime
2026-05-03,1,Hokkaido / Tohoku / Tokyo,16.49,1912.0000000000018,2681.300000000001,1912.0000000000018,5.0,Balanced stack
2026-05-03,1,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,9.09,1003.6999999999989,2478.500000000002,1003.6999999999989,5.0,Thin stack
2026-05-03,1,System Price,14.71,7980.5,3135.9000000000015,3135.9000000000015,5.0,Balanced stack
2026-05-03,2,Hokkaido / Tohoku / Tokyo,15.79,2551.3999999999996,1977.1000000000004,1977.1000000000004,5.0,Balanced stack
2026-05-03,2,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,11.08,1365.1000000000022,2153.2999999999993,1365.1000000000022,5.0,Thin stack
2026-05-03,2,System Price,14.18,7698.600000000002,3150.100000000002,3150.100000000002,5.0,Balanced stack
2026-05-03,3,Hokkaido / Tohoku / Tokyo,15.24,3016.800000000001,1863.3999999999978,1863.3999999999978,5.0,Balanced stack
2026-05-03,3,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,9.15,932.0,2573.6000000000004,932.0,5.0,Thin stack
2026-05-03,3,System Price,13.48,7457.9000000000015,4132.799999999999,4132.799999999999,5.0,Balanced stack
2026-05-03,4,Hokkaido / Tohoku / Tokyo,15.24,3058.800000000001,1842.5,1842.5,5.0,Balanced stack
2026-05-03,4,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,9.15,939.4000000000015,2784.0,939.4000000000015,5.0,Thin stack
2026-05-03,4,System Price,12.49,5694.899999999998,5377.9000000000015,5377.9000000000015,5.0,Balanced stack
2026-05-03,5,Hokkaido / Tohoku / Tokyo,15.25,2862.3999999999996,2700.0999999999985,2700.0999999999985,5.0,Balanced stack
2026-05-03,5,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,9.15,929.8999999999996,2459.8999999999996,929.8999999999996,5.0,Thin stack
2026-05-03,5,System Price,14.03,7059.600000000002,4149.200000000001,4149.200000000001,5.0,Balanced stack
2026-05-03,6,Hokkaido / Tohoku / Tokyo / Chubu,15.73,4349.200000000004,3532.0,3532.0,5.0,Balanced stack
2026-05-03,6,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,9.12,1020.5,2207.7999999999993,1020.5,5.0,Thin stack
2026-05-03,6,System Price,14.59,8182.200000000004,3798.199999999997,3798.199999999997,5.0,Balanced stack
2026-05-03,7,Hokkaido / Tohoku / Tokyo / Chubu,15.79,3714.2000000000007,4264.899999999998,3714.2000000000007,5.0,Balanced stack
2026-05-03,7,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,13.0,3823.5999999999985,1784.5000000000018,1784.5000000000018,5.0,Balanced stack
2026-05-03,7,System Price,15.13,8060.199999999997,4511.0,4511.0,5.0,Balanced stack
2026-05-03,8,Hokkaido / Tohoku / Tokyo / Chubu,15.87,3387.5,4352.299999999999,3387.5,5.0,Balanced stack
2026-05-03,8,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,14.17,3596.7000000000007,932.5999999999985,932.5999999999985,5.0,Thin stack
2026-05-03,8,System Price,15.28,7550.399999999998,5328.0999999999985,5328.0999999999985,5.0,Balanced stack
2026-05-03,9,Hokkaido / Tohoku / Tokyo / Chubu,16.5,3194.4000000000015,3780.0999999999985,3194.4000000000015,5.0,Balanced stack
2026-05-03,9,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,14.19,3501.300000000001,1078.3999999999978,1078.3999999999978,5.0,Thin stack
2026-05-03,9,System Price,15.65,7377.199999999997,5125.800000000003,5125.800000000003,5.0,Balanced stack
2026-05-03,10,Hokkaido / Tohoku / Tokyo / Chubu,16.89,3169.4000000000015,3895.399999999998,3169.4000000000015,5.0,Balanced stack
2026-05-03,10,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,14.28,3501.2999999999993,1322.6000000000004,1322.6000000000004,5.0,Thin stack
2026-05-03,10,System Price,15.75,7179.5999999999985,5578.400000000005,5578.400000000005,5.0,Balanced stack
2026-05-03,11,Hokkaido / Tohoku / Tokyo / Chubu,15.95,2917.2999999999993,3679.100000000002,2917.2999999999993,5.0,Balanced stack
2026-05-03,11,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,14.0,2222.7999999999993,1142.800000000001,1142.800000000001,5.0,Thin stack
2026-05-03,11,System Price,15.2,5546.0999999999985,5097.100000000002,5097.100000000002,5.0,Balanced stack
2026-05-03,12,Hokkaido / Tohoku / Tokyo / Chubu,15.0,4694.100000000004,3241.399999999998,3241.399999999998,5.0,Balanced stack
2026-05-03,12,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,10.1,1753.5,1981.5000000000018,1753.5,5.0,Balanced stack
2026-05-03,12,System Price,13.79,7667.800000000003,4187.299999999996,4187.299999999996,5.0,Balanced stack
2026-05-03,13,Hokkaido / Tohoku / Tokyo / Chubu,10.7,3526.7999999999993,1986.9000000000015,1986.9000000000015,5.0,Balanced stack
2026-05-03,13,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,9.55,1338.699999999999,2155.5,1338.699999999999,5.0,Thin stack
2026-05-03,13,System Price,10.31,5345.799999999999,3709.7999999999993,3709.7999999999993,5.0,Balanced stack
2026-05-03,14,Hokkaido / Tohoku / Tokyo / Chubu,9.77,3045.6000000000004,2053.2999999999993,2053.2999999999993,5.0,Balanced stack
2026-05-03,14,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,9.05,1285.7999999999993,1859.2000000000007,1285.7999999999993,5.0,Thin stack
2026-05-03,14,System Price,9.76,5134.299999999999,3588.7000000000007,3588.7000000000007,5.0,Balanced stack
2026-05-03,15,Hokkaido / Tohoku / Tokyo / Chubu / Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,8.85,5579.200000000004,2597.2999999999956,2597.2999999999956,5.0,Balanced stack
2026-05-03,15,System Price,8.56,5546.200000000001,2388.0999999999985,2388.0999999999985,5.0,Balanced stack
2026-05-03,16,Hokkaido / Tohoku / Tokyo,10.3,1994.4000000000015,2055.300000000001,1994.4000000000015,5.0,Balanced stack
2026-05-03,16,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,8.87,1492.2999999999993,1502.699999999999,1492.2999999999993,5.0,Thin stack
2026-05-03,16,System Price,9.76,5198.4000000000015,4331.299999999999,4331.299999999999,5.0,Balanced stack
2026-05-03,17,Hokkaido / Tohoku / Tokyo,10.32,2104.9999999999964,1649.5000000000036,1649.5000000000036,5.0,Balanced stack
2026-05-03,17,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,8.75,1928.0,598.1999999999989,598.1999999999989,5.0,Thin stack
2026-05-03,17,System Price,9.09,4933.999999999996,2804.100000000002,2804.100000000002,5.0,Balanced stack
2026-05-03,18,Chubu / Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,5.6,2737.7000000000007,1624.300000000001,1624.300000000001,5.0,Balanced stack
2026-05-03,18,Hokkaido / Tohoku / Tokyo,10.3,2762.7999999999993,1346.5999999999985,1346.5999999999985,5.0,Thin stack
2026-05-03,18,System Price,8.59,6089.000000000004,1661.8999999999978,1661.8999999999978,5.0,Balanced stack
2026-05-03,19,Chubu / Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,8.16,3993.2000000000007,554.2999999999993,554.2999999999993,5.0,Thin stack
2026-05-03,19,System Price,8.87,5653.9000000000015,2549.5999999999985,2549.5999999999985,5.0,Balanced stack
2026-05-03,20,Chubu / Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,8.3,4048.2999999999993,655.0,655.0,5.0,Thin stack
2026-05-03,20,Hokkaido / Tohoku,8.31,588.2999999999993,537.1000000000004,537.1000000000004,5.0,Thin stack
2026-05-03,20,System Price,8.85,6477.800000000003,2214.800000000003,2214.800000000003,5.0,Balanced stack
2026-05-03,21,Chubu / Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,8.23,4162.499999999998,662.0,662.0,5.0,Thin stack
2026-05-03,21,Hokkaido / Tohoku,7.13,1005.0000000000009,363.6000000000013,363.6000000000013,5.0,Solar compression stack
