fiscal_year,product_name,area,trade_date,clearing_price_jpy_kwh,volume_mw,source
2025,BY2501B3,Tokyo,2024-08-30,15.6,41.0,JEPX public baseload CSV
2025,BY2501B6,Kansai,2024-08-30,12.97,14.8,JEPX public baseload CSV
2025,BY2501B9,Kyushu,2024-08-30,13.41,0.3,JEPX public baseload CSV
2025,BY2502B3,Tokyo,2024-10-18,15.65,1.4,JEPX public baseload CSV
2025,BY2502B6,Kansai,2024-10-18,13.31,10.7,JEPX public baseload CSV
2025,BY2502B9,Kyushu,2024-10-18,,,JEPX public baseload CSV
2025,BY2503B3,Tokyo,2024-11-27,16.05,80.0,JEPX public baseload CSV
2025,BY2503B6,Kansai,2024-11-27,13.36,110.3,JEPX public baseload CSV
2025,BY2503B9,Kyushu,2024-11-27,13.53,9.8,JEPX public baseload CSV
2025,BY2504B3,Tokyo,2025-01-31,15.27,3.1,JEPX public baseload CSV
2025,BY2504B6,Kansai,2025-01-31,12.58,7.0,JEPX public baseload CSV
2025,BY2504B9,Kyushu,2025-01-31,,,JEPX public baseload CSV
2026,BY2601B3,Tokyo,2025-08-29,13.3,10.0,JEPX public baseload CSV
2026,BY2601B6,Kansai,2025-08-29,11.75,38.6,JEPX public baseload CSV
2026,BY2601B9,Kyushu,2025-08-29,11.0,4.6,JEPX public baseload CSV
2026,BY2602B3,Tokyo,2025-10-17,13.0,20.0,JEPX public baseload CSV
2026,BY2602B6,Kansai,2025-10-17,11.65,17.4,JEPX public baseload CSV
2026,BY2602B9,Kyushu,2025-10-17,11.05,0.6,JEPX public baseload CSV
2026,BY2603B3,Tokyo,2025-11-26,12.42,15.0,JEPX public baseload CSV
2026,BY2603B6,Kansai,2025-11-26,11.13,17.0,JEPX public baseload CSV
2026,BY2603B9,Kyushu,2025-11-26,10.45,0.6,JEPX public baseload CSV
2026,BY2604B3,Tokyo,2026-01-30,12.39,2.9,JEPX public baseload CSV
2026,BY2604B6,Kansai,2026-01-30,11.15,2.8,JEPX public baseload CSV
2026,BY2604B9,Kyushu,2026-01-30,,,JEPX public baseload CSV
