delivery_date,time_code,area_group,bid_price_jpy_kwh,sell_cumulative_mw,buy_cumulative_mw,net_supply_mw,source
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,0.0,4921.8,20733.0,-15811.2,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,1.0,15311.7,20706.8,-5395.0999999999985,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,5.0,15623.0,20281.5,-4658.5,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,10.0,15697.7,18506.7,-2809.0,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,15.0,17220.7,16366.4,854.3000000000011,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,20.0,17729.3,16009.6,1719.699999999999,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,25.0,18946.1,15952.5,2993.5999999999985,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,30.0,19238.2,15816.2,3422.0,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,40.0,19249.9,15504.2,3745.7000000000007,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,50.0,19259.9,15392.8,3867.100000000002,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,75.0,19275.0,13559.635173299102,5715.3648267008975,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,100.0,19327.8,12673.7,6654.0999999999985,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,150.0,19327.8,11960.207692307691,7367.592307692308,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,200.0,19327.8,11953.8,7374.0,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,300.0,19328.1,8075.7,11252.399999999998,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,500.0,19328.1,8073.266714445241,11254.833285554758,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,800.0,19328.1,8071.11667861131,11256.983321388689,JEPX processed sampled bidding curve
2026-08-20,1,Kansai / Chugoku / Shikoku / Kyushu,1000.0,19328.2,0.0,19328.2,JEPX processed sampled bidding curve
2026-08-20,1,System Price,0.0,15761.0,60152.2,-44391.2,JEPX processed sampled bidding curve
2026-08-20,1,System Price,1.0,41311.9,59951.1,-18639.199999999997,JEPX processed sampled bidding curve
2026-08-20,1,System Price,5.0,41795.1,59012.1,-17217.0,JEPX processed sampled bidding curve
2026-08-20,1,System Price,10.0,42570.2,55777.3,-13207.100000000006,JEPX processed sampled bidding curve
2026-08-20,1,System Price,15.0,46152.9,52379.2,-6226.299999999996,JEPX processed sampled bidding curve
2026-08-20,1,System Price,20.0,51133.7,49458.2,1675.5,JEPX processed sampled bidding curve
2026-08-20,1,System Price,25.0,57351.7,48265.1,9086.599999999999,JEPX processed sampled bidding curve
2026-08-20,1,System Price,30.0,58691.5,47950.3,10741.199999999997,JEPX processed sampled bidding curve
2026-08-20,1,System Price,40.0,59020.9,41177.0,17843.9,JEPX processed sampled bidding curve
