date,market,region,asset_class,frequency,contract,price,currency,unit
2025-04-01,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.268749999999999,JPY,JPY/kWh
2025-04-02,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.373958333333334,JPY,JPY/kWh
2025-04-03,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.488333333333335,JPY,JPY/kWh
2025-04-04,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.245,JPY,JPY/kWh
2025-04-05,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.006041666666667,JPY,JPY/kWh
2025-04-06,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.3758333333333335,JPY,JPY/kWh
2025-04-07,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.399375000000001,JPY,JPY/kWh
2025-04-08,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.547291666666666,JPY,JPY/kWh
2025-04-09,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.436875,JPY,JPY/kWh
2025-04-10,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.092708333333334,JPY,JPY/kWh
2025-04-11,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.691458333333333,JPY,JPY/kWh
2025-04-12,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.068125,JPY,JPY/kWh
2025-04-13,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.049375,JPY,JPY/kWh
2025-04-14,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.564375,JPY,JPY/kWh
2025-04-15,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.661458333333334,JPY,JPY/kWh
2025-04-16,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.562291666666667,JPY,JPY/kWh
2025-04-17,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.50375,JPY,JPY/kWh
2025-04-18,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.036041666666668,JPY,JPY/kWh
2025-04-19,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,5.557708333333333,JPY,JPY/kWh
2025-04-20,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.750416666666666,JPY,JPY/kWh
2025-04-21,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.817083333333334,JPY,JPY/kWh
2025-04-22,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.835208333333332,JPY,JPY/kWh
2025-04-23,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.513125,JPY,JPY/kWh
2025-04-24,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.659374999999999,JPY,JPY/kWh
2025-04-25,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.660416666666666,JPY,JPY/kWh
2025-04-26,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.970624999999999,JPY,JPY/kWh
2025-04-27,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.067083333333334,JPY,JPY/kWh
2025-04-28,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.803125,JPY,JPY/kWh
2025-04-29,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.183958333333333,JPY,JPY/kWh
2025-04-30,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.137500000000001,JPY,JPY/kWh
2025-05-01,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.585625,JPY,JPY/kWh
2025-05-02,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.967291666666666,JPY,JPY/kWh
2025-05-03,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.77,JPY,JPY/kWh
2025-05-04,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.202708333333334,JPY,JPY/kWh
2025-05-05,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.757916666666667,JPY,JPY/kWh
2025-05-06,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.016458333333333,JPY,JPY/kWh
2025-05-07,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.519375,JPY,JPY/kWh
2025-05-08,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.449166666666667,JPY,JPY/kWh
2025-05-09,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.31375,JPY,JPY/kWh
2025-05-10,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.127291666666667,JPY,JPY/kWh
2025-05-11,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.463958333333333,JPY,JPY/kWh
2025-05-12,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.135,JPY,JPY/kWh
2025-05-13,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.600208333333334,JPY,JPY/kWh
2025-05-14,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.225625,JPY,JPY/kWh
2025-05-15,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.595208333333333,JPY,JPY/kWh
2025-05-16,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.770208333333333,JPY,JPY/kWh
2025-05-17,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.654791666666666,JPY,JPY/kWh
2025-05-18,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.88625,JPY,JPY/kWh
2025-05-19,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.065833333333334,JPY,JPY/kWh
2025-05-20,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.066875,JPY,JPY/kWh
