date,area,demand_peak_mw,demand_avg_mw,thermal_avg_mw,residual_thermal_peak_mw,renewable_curtailment_mwh,solar_midday_avg_mw,demand_midday_avg_mw,thermal_midday_avg_mw,thermal_evening_avg_mw,thermal_ramp_mw,solar_share_midday_pct,source
2024-03-01,Kansai,19954,17230.062,9844.25,11667,0.0,3344.375,18571.25,8878.0,10716.625,1838.625,18.008,JapanesePower.org regional half-hourly supply mix
2024-03-02,Kansai,18851,16800.292,8302.542,11971,0.0,3577.375,17104.25,6852.75,9164.25,2311.5,20.915,JapanesePower.org regional half-hourly supply mix
2024-03-03,Kansai,17732,15706.0,7261.271,10930,0.0,4871.75,15219.625,4808.5,8597.75,3789.25,32.01,JapanesePower.org regional half-hourly supply mix
2024-03-04,Kansai,20609,17241.188,9584.188,12367,0.0,3782.5,18960.25,8957.25,11126.625,2169.375,19.95,JapanesePower.org regional half-hourly supply mix
2024-03-05,Kansai,21951,18607.625,11941.229,14887,0.0,642.0,21469.875,13167.0,12789.625,-377.375,2.99,JapanesePower.org regional half-hourly supply mix
2024-03-06,Kansai,21392,18313.438,12017.958,13773,0.0,1015.125,20537.75,11892.625,12270.75,378.125,4.943,JapanesePower.org regional half-hourly supply mix
2024-03-07,Kansai,20285,17798.771,10685.646,12906,0.0,3565.5,19195.75,9333.5,11636.0,2302.5,18.574,JapanesePower.org regional half-hourly supply mix
2024-03-08,Kansai,20892,17921.708,10344.875,12737,0.0,3504.0,19358.0,8563.5,11595.125,3031.625,18.101,JapanesePower.org regional half-hourly supply mix
2024-03-09,Kansai,19246,16905.167,9069.479,12502,0.0,2875.75,17305.125,7107.25,10510.75,3403.5,16.618,JapanesePower.org regional half-hourly supply mix
2024-03-10,Kansai,18132,15854.854,8126.625,11453,0.0,4431.125,15595.875,5048.25,9590.875,4542.625,28.412,JapanesePower.org regional half-hourly supply mix
2024-03-11,Kansai,20719,17453.375,9924.271,12149,0.0,5189.375,18814.125,7675.875,11551.5,3875.625,27.582,JapanesePower.org regional half-hourly supply mix
2024-03-12,Kansai,21720,18009.0,10957.979,14579,0.0,791.625,20859.0,11510.875,11928.0,417.125,3.795,JapanesePower.org regional half-hourly supply mix
2024-03-13,Kansai,20682,17590.583,9697.5,12554,0.0,3576.25,19328.125,7498.0,11474.5,3976.5,18.503,JapanesePower.org regional half-hourly supply mix
2024-03-14,Kansai,20448,17472.042,9706.208,11959,0.0,4298.625,18709.375,7679.125,10928.625,3249.5,22.976,JapanesePower.org regional half-hourly supply mix
2024-03-15,Kansai,18925,16379.25,8661.708,10546,0.0,5364.25,17486.5,5720.125,9989.25,4269.125,30.677,JapanesePower.org regional half-hourly supply mix
2024-03-16,Kansai,15555,14166.396,6350.771,8567,49.0,5362.375,14435.75,2098.375,8166.875,6068.5,37.146,JapanesePower.org regional half-hourly supply mix
2024-03-17,Kansai,16036,13866.188,7160.375,9091,0.0,1386.0,14084.875,6084.625,8026.25,1941.625,9.84,JapanesePower.org regional half-hourly supply mix
2024-03-18,Kansai,19065,16548.542,8683.604,12006,0.0,4894.5,18195.0,6164.0,11174.75,5010.75,26.9,JapanesePower.org regional half-hourly supply mix
2024-03-19,Kansai,20313,17403.438,10524.188,11932,0.0,3247.5,18908.125,9456.875,11849.5,2392.625,17.175,JapanesePower.org regional half-hourly supply mix
2024-03-20,Kansai,19701,16899.521,9616.375,13229,0.0,2113.125,17903.375,7892.625,11491.5,3598.875,11.803,JapanesePower.org regional half-hourly supply mix
2024-03-21,Kansai,22291,18969.958,10719.417,14056,0.0,3848.0,20734.0,10249.5,11641.625,1392.125,18.559,JapanesePower.org regional half-hourly supply mix
2024-03-22,Kansai,20944,17823.521,10020.917,11929,0.0,5209.625,19365.125,7909.75,11128.0,3218.25,26.902,JapanesePower.org regional half-hourly supply mix
2024-03-23,Kansai,19008,16479.083,9582.396,11751,0.0,826.0,18325.875,9544.875,10338.875,794.0,4.507,JapanesePower.org regional half-hourly supply mix
2024-03-24,Kansai,16572,14709.604,8602.771,9700,0.0,839.125,15580.375,8506.125,8692.625,186.5,5.386,JapanesePower.org regional half-hourly supply mix
2024-03-25,Kansai,19356,16273.146,9879.958,11830,0.0,1183.75,18664.375,10296.5,10272.625,-23.875,6.342,JapanesePower.org regional half-hourly supply mix
2024-03-26,Kansai,19525,16765.021,9826.0,11806,0.0,1026.375,18979.75,10272.25,10743.125,470.875,5.408,JapanesePower.org regional half-hourly supply mix
2024-03-27,Kansai,18490,16003.396,7878.417,10019,208.0,5541.375,17393.5,4969.375,9699.125,4729.75,31.859,JapanesePower.org regional half-hourly supply mix
2024-03-28,Kansai,18198,16014.625,8931.146,10220,0.0,2582.75,17407.0,8769.375,9828.375,1059.0,14.837,JapanesePower.org regional half-hourly supply mix
2024-03-29,Kansai,16586,14386.396,5969.5,8342,41.5,5055.25,15782.125,4142.25,7054.125,2911.875,32.031,JapanesePower.org regional half-hourly supply mix
2024-03-30,Kansai,13802,12724.125,3877.146,6638,1208.0,5274.875,13418.25,1599.75,5715.625,4115.875,39.311,JapanesePower.org regional half-hourly supply mix
2024-03-31,Kansai,13495,11862.979,3931.104,6395,6224.5,3315.0,12139.625,1800.375,5673.625,3873.25,27.307,JapanesePower.org regional half-hourly supply mix
2024-04-01,Kansai,15368,13496.854,5035.146,7947,17.5,5347.875,14867.25,2259.375,6440.625,4181.25,35.971,JapanesePower.org regional half-hourly supply mix
2024-04-02,Kansai,15900,14356.167,5833.688,8393,0.0,3839.75,15440.375,3530.0,7136.875,3606.875,24.868,JapanesePower.org regional half-hourly supply mix
2024-04-03,Kansai,17729,15202.896,8278.896,9907,0.0,800.125,17437.125,8931.625,9128.25,196.625,4.589,JapanesePower.org regional half-hourly supply mix
2024-04-04,Kansai,16330,14553.229,6777.625,8701,0.0,2768.625,15823.0,5525.625,7533.875,2008.25,17.497,JapanesePower.org regional half-hourly supply mix
2024-04-05,Kansai,16522,14550.917,6610.583,8333,0.0,3739.0,15559.875,5208.375,7634.5,2426.125,24.03,JapanesePower.org regional half-hourly supply mix
2024-04-06,Kansai,13830,12683.062,5876.771,6526,20.0,4309.0,12749.875,3342.25,6858.0,3515.75,33.796,JapanesePower.org regional half-hourly supply mix
2024-04-07,Kansai,13683,11982.562,4551.854,6250,3829.0,3998.25,12134.25,1953.0,6005.5,4052.5,32.95,JapanesePower.org regional half-hourly supply mix
2024-04-08,Kansai,16210,14020.979,6800.562,7632,0.0,2014.5,15828.875,6299.625,7360.5,1060.875,12.727,JapanesePower.org regional half-hourly supply mix
2024-04-09,Kansai,16831,14864.688,6020.25,8584,0.0,1923.875,16226.5,4708.75,7621.5,2912.75,11.856,JapanesePower.org regional half-hourly supply mix
