month,area,generation_type,generation_gwh,source,source_note
2024-03-01,Kansai,Biomass,158.284,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-03-01,Kansai,Coal,2122.744,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-03-01,Kansai,Gas,4272.048,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-03-01,Kansai,Hydro,1073.035,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-03-01,Kansai,Nuclear,3372.806,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-03-01,Kansai,Oil,57.312,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-03-01,Kansai,Other,272.027,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-03-01,Kansai,Solar,761.382,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-03-01,Kansai,Wind,42.991,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-04-01,Kansai,Biomass,204.66,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-04-01,Kansai,Coal,1244.77,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-04-01,Kansai,Gas,2606.048,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-04-01,Kansai,Hydro,1554.552,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-04-01,Kansai,Nuclear,3943.806,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-04-01,Kansai,Oil,31.834,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-04-01,Kansai,Other,211.006,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-04-01,Kansai,Solar,782.416,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-04-01,Kansai,Wind,24.0,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-05-01,Kansai,Biomass,202.679,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-05-01,Kansai,Coal,738.676,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-05-01,Kansai,Gas,2397.481,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-05-01,Kansai,Hydro,1322.501,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
2024-05-01,Kansai,Nuclear,4890.446,JapanesePower.org regional half-hourly supply mix,Free public aggregate half-hourly regional demand/generation mix. Use processed aggregates for dashboard speed; verify licensing and source lineage before commercial use.
