month,area,thermal_gwh,clean_supply_gwh,demand_gwh,residual_thermal_share_pct,source
2024-03-01,Kansai,6664.316,5408.498,12244.303,54.428,JapanesePower.org regional half-hourly supply mix
2024-04-01,Kansai,4050.638,6509.435,9687.838,41.812,JapanesePower.org regional half-hourly supply mix
2024-05-01,Kansai,3315.038,7358.106,9809.184,33.795,JapanesePower.org regional half-hourly supply mix
2024-06-01,Kansai,4073.359,6601.588,10536.682,38.659,JapanesePower.org regional half-hourly supply mix
2024-07-01,Kansai,5990.208,7035.186,13840.41,43.281,JapanesePower.org regional half-hourly supply mix
2024-08-01,Kansai,6807.838,6449.11,13921.816,48.9,JapanesePower.org regional half-hourly supply mix
2024-09-01,Kansai,6336.34,6610.169,12799.966,49.503,JapanesePower.org regional half-hourly supply mix
2024-10-01,Kansai,4684.856,6255.591,10635.424,44.05,JapanesePower.org regional half-hourly supply mix
2024-11-01,Kansai,4754.329,5366.666,10093.916,47.101,JapanesePower.org regional half-hourly supply mix
2024-12-01,Kansai,6845.253,5318.359,12312.754,55.595,JapanesePower.org regional half-hourly supply mix
2025-01-01,Kansai,7535.111,5010.327,13001.504,57.956,JapanesePower.org regional half-hourly supply mix
2025-02-01,Kansai,6936.902,4828.936,12550.126,55.274,JapanesePower.org regional half-hourly supply mix
2025-03-01,Kansai,5100.764,5349.313,11630.968,43.855,JapanesePower.org regional half-hourly supply mix
2025-04-01,Kansai,3302.938,5916.33,9784.995,33.755,JapanesePower.org regional half-hourly supply mix
2025-05-01,Kansai,2683.488,6377.118,9792.876,27.402,JapanesePower.org regional half-hourly supply mix
2025-06-01,Kansai,4081.378,6218.44,11323.592,36.043,JapanesePower.org regional half-hourly supply mix
2025-07-01,Kansai,6349.243,5907.054,14283.73,44.451,JapanesePower.org regional half-hourly supply mix
2025-08-01,Kansai,6319.269,5922.646,13875.555,45.542,JapanesePower.org regional half-hourly supply mix
2025-09-01,Kansai,5163.928,5576.952,12445.578,41.492,JapanesePower.org regional half-hourly supply mix
2025-10-01,Kansai,4480.296,5455.139,10441.146,42.91,JapanesePower.org regional half-hourly supply mix
2025-11-01,Kansai,4360.918,5560.78,10144.996,42.986,JapanesePower.org regional half-hourly supply mix
2025-12-01,Kansai,5255.621,6247.264,11961.844,43.937,JapanesePower.org regional half-hourly supply mix
2026-01-01,Kansai,7065.87,6504.496,13435.223,52.592,JapanesePower.org regional half-hourly supply mix
2026-02-01,Kansai,6344.003,5545.999,11660.278,54.407,JapanesePower.org regional half-hourly supply mix
2026-03-01,Kansai,4946.288,5422.224,11485.994,43.064,JapanesePower.org regional half-hourly supply mix
2026-04-01,Kansai,3273.842,4858.288,9665.318,33.872,JapanesePower.org regional half-hourly supply mix
2026-05-01,Kansai,3446.635,4734.58,9942.834,34.665,JapanesePower.org regional half-hourly supply mix
2026-06-01,Kansai,4152.097,5257.188,10418.29,39.854,JapanesePower.org regional half-hourly supply mix
2024-04-01,Tokyo,12707.292,3750.457,19339.137,65.708,JapanesePower.org regional half-hourly supply mix
2024-05-01,Tokyo,12424.368,4182.592,19791.696,62.776,JapanesePower.org regional half-hourly supply mix
2024-06-01,Tokyo,14114.392,4190.457,21318.076,66.209,JapanesePower.org regional half-hourly supply mix
2024-07-01,Tokyo,19808.919,4140.469,27944.204,70.887,JapanesePower.org regional half-hourly supply mix
2024-08-01,Tokyo,19820.758,3868.421,28047.054,70.67,JapanesePower.org regional half-hourly supply mix
2024-09-01,Tokyo,18151.528,3508.667,24905.084,72.883,JapanesePower.org regional half-hourly supply mix
2024-10-01,Tokyo,14697.874,2794.378,21027.334,69.899,JapanesePower.org regional half-hourly supply mix
2024-11-01,Tokyo,14600.235,2832.982,20588.624,70.914,JapanesePower.org regional half-hourly supply mix
2024-12-01,Tokyo,18678.652,3088.945,24770.856,75.406,JapanesePower.org regional half-hourly supply mix
2025-01-01,Tokyo,19139.929,3182.405,26030.916,73.528,JapanesePower.org regional half-hourly supply mix
2025-02-01,Tokyo,17507.094,3368.761,24036.22,72.836,JapanesePower.org regional half-hourly supply mix
2025-03-01,Tokyo,16809.069,3389.922,23343.014,72.009,JapanesePower.org regional half-hourly supply mix
2025-04-01,Tokyo,12794.061,3713.754,19646.339,65.122,JapanesePower.org regional half-hourly supply mix
2025-05-01,Tokyo,11975.498,3816.528,19142.636,62.559,JapanesePower.org regional half-hourly supply mix
2025-06-01,Tokyo,14574.29,3873.15,22323.188,65.288,JapanesePower.org regional half-hourly supply mix
2025-07-01,Tokyo,19764.412,4420.286,27836.844,71.001,JapanesePower.org regional half-hourly supply mix
2025-08-01,Tokyo,19895.546,4099.412,28052.45,70.923,JapanesePower.org regional half-hourly supply mix
2025-09-01,Tokyo,17802.595,3300.0,24610.218,72.338,JapanesePower.org regional half-hourly supply mix
2025-10-01,Tokyo,14660.794,2435.429,20635.686,71.046,JapanesePower.org regional half-hourly supply mix
2025-11-01,Tokyo,14943.478,2709.968,21026.436,71.07,JapanesePower.org regional half-hourly supply mix
2025-12-01,Tokyo,18530.589,2866.592,24995.402,74.136,JapanesePower.org regional half-hourly supply mix
2026-01-01,Tokyo,20422.882,3274.982,26872.451,75.999,JapanesePower.org regional half-hourly supply mix
2026-02-01,Tokyo,17421.682,3052.97,23523.056,74.062,JapanesePower.org regional half-hourly supply mix
2026-03-01,Tokyo,15505.162,4077.79,22744.044,68.172,JapanesePower.org regional half-hourly supply mix
2026-04-01,Tokyo,11868.232,4688.994,19111.974,62.098,JapanesePower.org regional half-hourly supply mix
2026-05-01,Tokyo,11384.897,5221.104,19419.721,58.625,JapanesePower.org regional half-hourly supply mix
2026-06-01,Tokyo,13666.82,4240.609,19948.348,68.511,JapanesePower.org regional half-hourly supply mix
