date,market,region,asset_class,frequency,contract,price,currency,unit
2023-04-26,JKM,Japan/Korea,LNG,daily,spot,14.7795,USD,MMBtu
2023-04-27,JKM,Japan/Korea,LNG,daily,spot,15.0302,USD,MMBtu
2023-04-28,JKM,Japan/Korea,LNG,daily,spot,14.4309,USD,MMBtu
2023-04-29,JKM,Japan/Korea,LNG,daily,spot,14.6588,USD,MMBtu
2023-04-30,JKM,Japan/Korea,LNG,daily,spot,14.3605,USD,MMBtu
2023-05-01,JKM,Japan/Korea,LNG,daily,spot,14.5019,USD,MMBtu
2023-05-02,JKM,Japan/Korea,LNG,daily,spot,14.4158,USD,MMBtu
2023-05-03,JKM,Japan/Korea,LNG,daily,spot,14.6337,USD,MMBtu
2023-05-04,JKM,Japan/Korea,LNG,daily,spot,14.6896,USD,MMBtu
2023-05-05,JKM,Japan/Korea,LNG,daily,spot,13.4162,USD,MMBtu
2023-05-06,JKM,Japan/Korea,LNG,daily,spot,13.5205,USD,MMBtu
2023-05-07,JKM,Japan/Korea,LNG,daily,spot,13.8175,USD,MMBtu
2023-05-08,JKM,Japan/Korea,LNG,daily,spot,14.0281,USD,MMBtu
2023-05-09,JKM,Japan/Korea,LNG,daily,spot,14.0054,USD,MMBtu
2023-05-10,JKM,Japan/Korea,LNG,daily,spot,14.7184,USD,MMBtu
2023-05-11,JKM,Japan/Korea,LNG,daily,spot,14.859,USD,MMBtu
2023-05-12,JKM,Japan/Korea,LNG,daily,spot,15.0513,USD,MMBtu
2023-05-13,JKM,Japan/Korea,LNG,daily,spot,15.4984,USD,MMBtu
2023-05-14,JKM,Japan/Korea,LNG,daily,spot,15.6492,USD,MMBtu
2023-05-15,JKM,Japan/Korea,LNG,daily,spot,15.2613,USD,MMBtu
2023-05-16,JKM,Japan/Korea,LNG,daily,spot,14.2226,USD,MMBtu
2023-05-17,JKM,Japan/Korea,LNG,daily,spot,14.0395,USD,MMBtu
2023-05-18,JKM,Japan/Korea,LNG,daily,spot,14.3903,USD,MMBtu
2023-05-19,JKM,Japan/Korea,LNG,daily,spot,14.2575,USD,MMBtu
2023-05-20,JKM,Japan/Korea,LNG,daily,spot,14.624,USD,MMBtu
2023-05-21,JKM,Japan/Korea,LNG,daily,spot,14.7037,USD,MMBtu
2023-05-22,JKM,Japan/Korea,LNG,daily,spot,15.2751,USD,MMBtu
2023-05-23,JKM,Japan/Korea,LNG,daily,spot,15.1519,USD,MMBtu
2023-05-24,JKM,Japan/Korea,LNG,daily,spot,15.3621,USD,MMBtu
2023-05-25,JKM,Japan/Korea,LNG,daily,spot,15.5861,USD,MMBtu
2023-05-26,JKM,Japan/Korea,LNG,daily,spot,16.2409,USD,MMBtu
2023-05-27,JKM,Japan/Korea,LNG,daily,spot,15.4841,USD,MMBtu
2023-05-28,JKM,Japan/Korea,LNG,daily,spot,15.2861,USD,MMBtu
2023-05-29,JKM,Japan/Korea,LNG,daily,spot,15.6649,USD,MMBtu
2023-05-30,JKM,Japan/Korea,LNG,daily,spot,16.3444,USD,MMBtu
2023-05-31,JKM,Japan/Korea,LNG,daily,spot,16.4383,USD,MMBtu
2023-06-01,JKM,Japan/Korea,LNG,daily,spot,16.2958,USD,MMBtu
2023-06-02,JKM,Japan/Korea,LNG,daily,spot,16.6201,USD,MMBtu
2023-06-03,JKM,Japan/Korea,LNG,daily,spot,16.9888,USD,MMBtu
2023-06-04,JKM,Japan/Korea,LNG,daily,spot,16.8066,USD,MMBtu
2023-06-05,JKM,Japan/Korea,LNG,daily,spot,16.9345,USD,MMBtu
2023-06-06,JKM,Japan/Korea,LNG,daily,spot,17.4393,USD,MMBtu
2023-06-07,JKM,Japan/Korea,LNG,daily,spot,18.253,USD,MMBtu
2023-06-08,JKM,Japan/Korea,LNG,daily,spot,18.5403,USD,MMBtu
2023-06-09,JKM,Japan/Korea,LNG,daily,spot,18.5102,USD,MMBtu
2023-06-10,JKM,Japan/Korea,LNG,daily,spot,18.4368,USD,MMBtu
2023-06-11,JKM,Japan/Korea,LNG,daily,spot,18.6396,USD,MMBtu
2023-06-12,JKM,Japan/Korea,LNG,daily,spot,18.5362,USD,MMBtu
2023-06-13,JKM,Japan/Korea,LNG,daily,spot,18.5723,USD,MMBtu
2023-06-14,JKM,Japan/Korea,LNG,daily,spot,18.0443,USD,MMBtu
2023-06-15,JKM,Japan/Korea,LNG,daily,spot,18.5912,USD,MMBtu
2023-06-16,JKM,Japan/Korea,LNG,daily,spot,18.024,USD,MMBtu
2023-06-17,JKM,Japan/Korea,LNG,daily,spot,17.788,USD,MMBtu
2023-06-18,JKM,Japan/Korea,LNG,daily,spot,17.797,USD,MMBtu
2023-06-19,JKM,Japan/Korea,LNG,daily,spot,18.6686,USD,MMBtu
2023-06-20,JKM,Japan/Korea,LNG,daily,spot,18.4241,USD,MMBtu
2023-06-21,JKM,Japan/Korea,LNG,daily,spot,18.0726,USD,MMBtu
2023-06-22,JKM,Japan/Korea,LNG,daily,spot,17.7798,USD,MMBtu
2023-06-23,JKM,Japan/Korea,LNG,daily,spot,18.5049,USD,MMBtu
2023-06-24,JKM,Japan/Korea,LNG,daily,spot,17.1652,USD,MMBtu
2023-06-25,JKM,Japan/Korea,LNG,daily,spot,16.6804,USD,MMBtu
2023-06-26,JKM,Japan/Korea,LNG,daily,spot,17.9227,USD,MMBtu
2023-06-27,JKM,Japan/Korea,LNG,daily,spot,18.1569,USD,MMBtu
2023-06-28,JKM,Japan/Korea,LNG,daily,spot,17.6037,USD,MMBtu
2023-06-29,JKM,Japan/Korea,LNG,daily,spot,17.5519,USD,MMBtu
2023-06-30,JKM,Japan/Korea,LNG,daily,spot,17.5516,USD,MMBtu
2023-07-01,JKM,Japan/Korea,LNG,daily,spot,17.912,USD,MMBtu
2023-07-02,JKM,Japan/Korea,LNG,daily,spot,18.7267,USD,MMBtu
2023-07-03,JKM,Japan/Korea,LNG,daily,spot,18.853,USD,MMBtu
2023-07-04,JKM,Japan/Korea,LNG,daily,spot,18.5454,USD,MMBtu
2023-07-05,JKM,Japan/Korea,LNG,daily,spot,18.8607,USD,MMBtu
2023-07-06,JKM,Japan/Korea,LNG,daily,spot,18.478,USD,MMBtu
2023-07-07,JKM,Japan/Korea,LNG,daily,spot,17.9456,USD,MMBtu
2023-07-08,JKM,Japan/Korea,LNG,daily,spot,17.0833,USD,MMBtu
2023-07-09,JKM,Japan/Korea,LNG,daily,spot,16.3274,USD,MMBtu
2023-07-10,JKM,Japan/Korea,LNG,daily,spot,15.8979,USD,MMBtu
