curve_date,contract_month,area,load_type,settlement_price,currency,unit,contract_type,source,source_note
2026-05-09,2026-07-01,Tokyo,Baseload,17.6479,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2026-08-01,Tokyo,Baseload,17.7651,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2026-09-01,Tokyo,Baseload,17.5254,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2026-10-01,Tokyo,Baseload,16.9189,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2026-11-01,Tokyo,Baseload,16.176,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2026-12-01,Tokyo,Baseload,16.3937,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-01-01,Tokyo,Baseload,17.1124,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-02-01,Tokyo,Baseload,16.8269,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-03-01,Tokyo,Baseload,16.7517,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-04-01,Tokyo,Baseload,16.081,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-05-01,Tokyo,Baseload,16.0979,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-06-01,Tokyo,Baseload,16.5441,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-07-01,Tokyo,Baseload,17.4421,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-08-01,Tokyo,Baseload,17.661,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-09-01,Tokyo,Baseload,17.156,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-10-01,Tokyo,Baseload,16.8395,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-11-01,Tokyo,Baseload,16.0541,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2027-12-01,Tokyo,Baseload,15.7492,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2026-07-01,Tokyo,Peakload,20.386,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2026-08-01,Tokyo,Peakload,20.7098,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2026-09-01,Tokyo,Peakload,20.2872,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
2026-05-09,2026-10-01,Tokyo,Peakload,19.2715,JPY,kWh,monthly_cash_settled_futures,synthetic_jpx_power_futures,"Synthetic monthly Japan electricity futures proxy. Replace with JSCC paid service, JPX/vendor settlements, or user-uploaded broker marks for production."
